"Word","Length","Freq_HAL","Pron","I_Mean_RT","I_NMG_Mean_RT"
"boroughs","8","96","b""3`.roz","844.261","814.870"
"borrow","6","4,242","b""O.ro","618.065","586.217"
"borrowed","8","3,493","b""O.rod","672.548","639.621"
"borrower","8","253","b""O.ro@`","759.355","678.333"
"borrowing","9","2,325","b""O.ro.IN","734.969","701.000"
"borrows","7","399","b""O.roz","688.156","687.556"
"borscht","7","39","""bOrSt","697.250","809.950"
"bosom","5","551","b""U.zm=","892.455","738.458"
"bosoms","6","63","b""U.zm=z","770.667","796.714"
"boss","4","10,002","b""Os","595.686","541.214"
"bossed","6","28","b""Ost","741.452","601.538"
"bosses","6","1,466","b""Os.@z","640.441","619.815"
"bossman","7","29","b""Osm@n","694.333","703.286"
"boss's","6","196","b""Os.@z","678.545","627.464"
"bossy","5","311","b""Os.i","677.419","581.519"
"Boston","6","27,335","b""O.st@n","585.485","584.893"
"Bostonian","9","55","bO.st""on.i@n","866.375","875.130"
"Bostonians","10","67","b""Astoni@nz","900.448","824.500"
"Boston's","8","382","b""O.st@nz","660.812","574.500"
"botanical","9","821","b@.t""a.nIk.l=","788.200","710.846"
"botanist","8","336","b""A.4@.nIst","842.074","860.000"
"botanists","9","82","b""A.4@.nIsts","812.417","844.261"
"botany","6","622","b""A.4@.ni","842.323","724.308"
"botch","5","243","b""AtS","741.000","630.385"
"both","4","296,623","b""oT","599.121","620.400"
"bother","6","20,419","b""A.D@`","688.879","709.259"
"bothered","8","7,149","b""A.D@`d","656.606","600.034"
"bothering","9","2,369","b""A.D@`.IN","653.394","641.077"
"bothers","7","2,907","b""A.D@`z","793.156","645.692"
"bothersome","10","441","b""A.D@`.sm=","841.029","657.107"
"bottle","6","18,633","b""A.4l=","607.212","558.286"
"bottled","7","1,255","b""A.4l=d","785.429","615.464"
"bottleneck","10","1,037","b""A.4l=.n%Ek","721.419","677.857"
"bottlenecks","11","378","b""A.4l=.n%Eks","823.088","699.704"
"bottles","7","5,673","b""A.4l=z","611.968","636.269"
"bottling","8","600","b""A.4l=.IN","752.414","743.821"
"bottom","6","43,483","b""A.4@m","648.647","601.786"
"bottomless","10","1,732","b""A.4@m.l@s","682.406","699.269"
"bottoms","7","1,520","b""A.4@mz","655.000","593.536"
"botulism","8","171","b""A.tS@.l%I.zm=","879.625","919.214"
"boudoir","7","49","b""u.dwAr","994.462","858.000"
"bough","5","296","b""aU","736.455","811.739"
"boughs","6","35","b""aUz","945.043","754.385"
"bought","6","57,147","b""Ot","695.606","659.125"
"bouillabaisse","13","38","b%u.j@.b""Es","1,040.143","1,000.000"
"bouillon","8","96","""bUljAn","931.857","924.286"
"boulder","7","6,519","b""ol.d@`","710.786","642.704"
"boulders","8","342","b""ol.d@`z","706.931","712.393"
"boulevard","9","2,518","b""U.l@.vArd","832.733","786.821"
"boulevards","10","33","b""U.l@.vArdz","806.185","819.042"
"bounce","6","4,232","b""aUns","564.706","607.185"
"bounced","7","3,458","b""aUnst","637.000","632.074"
"bouncer","7","288","b""aUns.@`","685.294","645.333"
"bouncing","8","2,515","b""aUns.IN","594.636","587.500"
"bouncy","6","468","b""aUns.i","670.788","598.593"
"bound","5","12,725","b""aUnd","639.606","567.038"
"boundaries","10","4,981","b""aUn4.@`.riz","679.613","662.414"
"boundary","8","4,319","b""aUn4.@`.ri","690.727","594.393"
"bounded","7","690","b""aUn4.@d","683.367","651.821"
"bounding","8","582","b""aUn4.IN","785.903","642.407"
"boundless","9","449","b""aUnd.l@s","718.344","682.071"
"bounds","6","2,885","b""aUndz","654.062","647.750"
"bounteous","9","20","b""aUn.4i@s","1,199.824","970.550"
"bountiful","9","227","b""aUn.4I.fl=","886.481","666.897"
"bounty","6","1,701","b""aUn.4i","735.188","651.000"
"bouquet","7","597","bo.k""e","722.323","688.833"
"bouquets","8","128","bo.k""ez","769.844","943.318"
"bourbon","7","457","b""3`.b@n","729.724","807.600"
"bourbons","8","125","b""3`.b@nz","890.667","793.609"
"bourgeois","9","765","bUrZ.w""A","831.826","969.455"
"bourgeoisie","11","515","b%UrZ.wA.z""i","1,035.350","796.000"
"bout","4","5,608","b""aUt","710.773","612.423"
"boutique","8","687","bu.t""ik","703.719","695.542"
"bouts","5","522","b""aUts","758.429","699.074"
"bovine","6","899","b""o.vaIn","771.500","669.250"
"bovines","7","53","b""o.vaInz","747.000","827.318"
"bow","3","7,503","b""o","657.294","631.583"
"bowed","5","1,014","b""od","712.900","801.864"
"bowel","5","953","b""aU@l","667.129","686.429"
"bowels","6","767","b""aU@lz","699.968","651.077"
"bower","5","387","b""aUr","933.778","689.714"
"bowers","6","1,145","b""aUrz","868.111","645.762"
"Bowie","5","1,443","b""o.i","756.850","835.333"
"bowing","6","674","b""aU.IN","723.438","789.211"
"bowl","4","10,720","b""ol","602.030","633.962"
"bowler","6","1,306","b""ol.@`","697.250","732.000"
"bowling","7","5,426","b""ol.IN","598.636","636.875"
"bowls","5","1,100","b""olz","617.097","648.875"
"bowman","6","3,035","b""o.m@n","872.500","708.680"
"bows","4","1,206","b""aUz","694.545","687.720"
"bowstring","9","49","b""o.str%IN","997.087","826.179"
"bowwow","6","2","""baU%waU","954.077","851.350"
"box","3","171,530","b""Aks","697.029","557.071"
"boxcar","6","249","b""Aks.k%Ar","683.286","598.857"
"boxcars","7","89","b""Aks.k%Arz","682.818","602.593"
"boxed","5","3,530","b""Akst","605.486","582.593"
"boxer","5","1,744","b""Aks.@`","574.906","578.593"
"boxes","5","24,778","b""Aks.@z","625.943","599.643"
"boxing","6","2,810","b""Aks.IN","551.500","547.483"
"boxwood","7","69","b""Aks.w%Ud","877.957","612.731"
"boxy","4","122","b""Aks.i","759.000","572.192"
"boy","3","42,823","b""OI","532.909","555.846"
"boycott","7","3,052","b""OI.kAt","646.676","613.556"
"boycotted","9","205","b""OI.k%A4.@d","702.781","662.500"
"boyfriend","9","4,682","b""OI.fr%End","654.844","588.172"
"boyhood","7","451","b""OI.hUd","720.613","644.208"
"boyish","6","623","b""OI.IS","722.419","671.111"
"boys","4","23,926","b""OIz","688.312","569.286"
"boy's","5","2,837","b""OIz","564.467","573.643"
"bra","3","3,728","br""A","659.281","598.556"
"brace","5","1,418","br""es","583.875","583.481"
"braced","6","269","br""est","673.968","627.074"
"bracelet","8","443","br""es.l@t","673.485","659.036"
"braces","6","845","br""es.@z","632.424","588.500"
"brace's","7","0","br""es@z","757.233","615.840"
"bracing","7","331","br""es.IN","789.033","580.038"
"bracken","7","199","br""a.k@n","888.882","708.148"
"bracket","7","2,667","br""a.k@t","808.156","599.821"
"brackets","8","2,652","br""a.k@ts","759.667","672.192"
"Brad","4","12,450","br""ad","666.645","620.231"
"Bradley","7","5,568","br""ad.li","725.375","634.556"
"brae","4","124","br""e","583.833","672.500"
"brag","4","1,165","br""ag","675.500","590.786"
"braggadocio","11","60","br%a.g@.d""o.Si.o","889.400","910.800"
"braggart","8","59","br""a.gArt","823.842","754.762"
"bragged","7","258","br""agd","699.562","640.929"
"bragging","8","1,038","br""ag.IN","659.273","671.897"
"Brahmin","7","357","br""A.mIn","1,083.429","1,010.867"
"Brahms","6","2,048","br""Amz","811.368","788.120"
"braid","5","501","br""ed","703.061","674.963"
"braided","7","431","br""e4.@d","737.645","663.370"
"braiding","8","103","br""e4.IN","921.750","667.393"
"braids","6","186","br""edz","604.567","600.148"
"braille","7","528","br""el","817.333","670.750"
"brain","5","54,113","br""en","583.875","597.400"
"brainchild","10","222","br""en.tS%aIld","798.906","708.000"
"brains","6","6,642","br""enz","616.424","588.808"
"brain's","7","383","br""enz","649.406","635.857"
"brainstorm","10","642","br""en.st%Orm","709.697","618.148"
"brainwash","9","1,437","br""en.w%AS","758.032","632.296"
"brainwashing","12","1,120","br""en.w%AS.IN","920.727","718.483"
"brainwave","9","168","br""en.w%ev","850.562","691.630"
"brainy","6","258","br""en.i","683.727","670.852"
"braise","6","19","br""ez","830.833","698.615"
"brake","5","6,154","br""ek","662.088","618.143"
"brakeman","8","35","br""ek.m@n","864.083","696.103"
"brakes","6","4,661","br""eks","618.176","617.440"
"bramble","7","267","br""am.bl=","735.231","637.625"
"brambles","8","2,560","br""am.bl=z","787.389","705.786"
"bran","4","594","br""an","713.667","675.667"
"branch","6","13,544","br""antS","625.545","568.357"
"branched","8","280","br""antSt","612.469","637.400"
"branches","8","4,575","br""antS.@z","667.656","667.667"
"branching","9","527","br""antS.IN","732.667","647.963"
"branchy","7","2","br""antS.i","777.214","671.577"
"brand","5","25,019","br""and","562.471","594.333"
"branded","7","959","br""an4.@d","664.848","578.857"
"brandish","8","64","br""an.4IS","929.179","675.615"
"brandishing","11","174","br""an.4IS.IN","836.500","775.240"
"Brandon","7","4,540","br""an.4@n","755.156","650.741"
"Brandon's","9","92","br""an.4@nz","684.576","624.815"
"brands","6","5,196","br""andz","615.710","575.250"
"brandy","6","1,564","br""an.4i","708.606","624.741"
"Brandywine","10","121","""brandi%waIn","940.720","837.500"
"brash","5","246","br""aS","751.500","638.107"
"brashness","9","19","br""aS.n@s","837.682","751.240"
"brass","5","12,055","br""as","652.500","611.393"
"brasserie","9","32","br""a.s@`.ri","991.765","907.714"
"brassiere","9","136","br""a.Z@`","881.300","820.526"
"brassy","6","57","br""as.i","783.095","633.250"
"brat","4","1,080","br""at","607.618","566.192"
"bratwurst","9","38","br""at.w@`st","821.520","740.000"
"bravado","7","263","br@.v""A.4o","914.444","686.231"
"brave","5","5,524","br""ev","573.094","560.704"
"braved","6","79","br""evd","718.971","646.893"
"bravely","7","341","br""ev.li","658.452","610.704"
"braver","6","261","br""ev.@`","666.185","611.000"
"bravery","7","455","br""ev.@`.ri","626.029","624.889"
"braves","6","1,057","br""evz","582.000","592.500"
"bravest","7","92","br""ev.Ist","732.677","634.214"
"braving","7","50","br""ev.IN","656.828","661.583"
"bravo","5","2,368","br""A.vo","650.281","601.500"
"brawl","5","1,090","br""Ol","592.290","627.143"
"brawn","5","269","br""On","800.913","636.111"
"bray","4","761","br""e","729.071","576.231"
"braying","7","52","br""e.IN","1,046.714","700.680"
"brazen","6","307","br""e.zn=","735.036","592.038"
"brazenly","8","198","br""e.zn=.li","838.917","857.304"
"brazenness","10","9","br""e.zn=.n@s","1,009.706","830.526"
"brazier","7","59","br""e.Z@`","738.375","868.312"
"Brazil","6","6,287","br@.z""Il","664.438","612.407"
"Brazilian","9","2,138","br@.z""Il.j@n","755.848","661.385"
"breach","6","2,604","br""itS","724.645","601.292"
"breaching","9","199","br""itS.IN","816.676","706.885"
"bread","5","9,063","br""Ed","589.500","600.414"
"breadbasket","11","37","br""Ed.b%a.sk@t","857.000","834.071"
"breadboard","10","123","br""Ed.b%Ord","816.593","801.107"
"breadcrumb","10","12","br""Ed.kr%Vm","746.344","688.885"
"breaded","7","40","br""Ed@d","705.875","672.417"
"breadfruit","10","7","br""Ed.fr%ut","930.652","753.192"
"breadline","9","11","br""Ed.l%aIn","884.462","701.148"
"breadth","7","1,090","br""EtT","741.700","718.692"
"breadwinner","11","91","br""Ed.w%In.@`","898.968","856.231"
"break","5","47,766","br""ek","604.147","591.964"
"breakable","9","217","br""ek.@.bl=","656.375","664.929"
"breakables","10","14","br""ek.@.bl=z","845.300","696.880"
"breakage","8","474","br""ek.IdZ","738.484","648.857"
"breakaway","9","606","br""ek.@.w%e","663.758","699.370"
"breakdown","9","3,655","br""ek.d%aUn","750.281","607.370"
"breakdowns","10","353","br""ek.d%aUnz","729.250","623.464"
"breaker","7","1,545","br""ek.@`","649.971","584.760"
"breakers","8","695","br""ek.@`z","616.429","646.000"
"breakfast","9","7,624","br""Ek.f@st","639.353","580.000"
"breakfasted","11","8","br""Ek.f@st.@d","954.333","748.762"
"breakfasts","10","380","br""Ek.f@sts","862.567","606.407"
"breaking","8","12,257","br""ek.IN","578.912","578.714"
"breakneck","9","104","br""ek.n%Ek","919.156","754.750"
"breakout","8","1,479","br""ek.%aUt","646.529","614.071"
"breaks","6","10,802","br""eks","625.848","601.120"
"breakthrough","12","1,639","br""ek.Tr%u","766.424","695.828"
"breakthroughs","13","461","br""ek.Tr%uz","774.938","688.962"
"breakup","7","713","br""ek.%Vp","600.562","592.852"
"breakups","8","58","br""ek.%Vps","706.824","605.407"
"breakwater","10","42","br""ek.w%O.4@`","789.812","738.320"
"breakwaters","11","21","br""ek.w%O.4@`z","887.467","871.704"
"breast","6","7,545","br""Est","631.971","640.615"
"breastbone","10","64","br""Est.b%on","764.226","745.571"
"breasted","8","265","br""Est.@d","777.844","743.556"
"breastfeed","10","386","br""Est.f%id","924.406","719.381"
"breastplate","11","124","br""Est.pl%et","925.455","782.000"
"breasts","7","10,188","br""Ests","600.879","598.929"
"breaststroke","12","93","br""Est.str%ok","1,002.346","842.250"
"breastwork","10","2","br""Est.w%3`k","912.071","787.222"
"breath","6","14,432","br""ET","614.706","626.320"
"breathalyse","11","0","br""E.T@.laIz","1,455.400","984.824"
"breathe","7","3,117","br""iD","661.606","581.296"
"breathed","8","1,133","br""iDd","862.733","723.917"
"breather","8","373","br""iD.@`","809.760","668.875"
"breathes","8","437","br""iDz","863.500","710.375"
"breathing","9","7,054","br""iD.IN","613.303","620.296"
"breathless","10","546","br""ET.l@s","703.152","631.593"
"breathlessly","12","185","br""ET.l@s.li","816.935","664.167"
"breaths","7","593","br""ETs","668.618","764.480"
"breathtaking","12","641","br""ET.t%ek.IN","774.471","617.571"
"breathy","7","89","br""ET.i","794.259","824.071"
"bred","4","3,086","br""Ed","685.593","593.741"
"breech","6","516","br""itS","649.414","627.462"
"breeches","8","147","br""ItS.@z","829.031","696.040"
"breed","5","15,241","br""id","647.176","593.680"
"breeder","7","4,110","br""i4.@`","753.576","669.815"
"breeding","8","8,624","br""i4.IN","604.091","634.963"
"breeds","6","5,486","br""idz","646.968","622.741"
"breed's","7","218","br""idz","718.688","635.885"
"breeze","6","2,120","br""iz","616.625","564.714"
"breezes","7","148","br""iz.@z","601.375","582.481"
"breezy","6","151","br""iz.i","673.594","637.280"
"brethren","8","1,350","br""ED.r@n","848.250","797.762"
"Breton","6","952","br""E.tn=","748.286","725.867"
"Brett","5","8,383","br""Et","729.516","646.786"
"brevity","7","862","br""E.v@.4i","808.474","702.042"
"brew","4","2,988","br""u","679.559","556.593"
"brewed","6","1,099","br""ud","667.906","637.750"
"brewers","7","1,224","br""u@`z","694.559","695.160"
"Brewer's","8","241","br""u@`z","808.517","652.840"
"brewery","7","1,470","br""u@`.ri","735.250","723.259"
"brewing","7","3,159","br""u.IN","705.455","643.407"
"Brian","5","44,247","br""aI@n","693.455","644.963"
"briar","5","201","br""aIr","783.913","654.609"
"bribe","5","1,123","br""aIb","753.424","616.769"
"bribed","6","239","br""aIbd","798.000","646.462"
"bribers","7","1","br""aIb.@`z","831.542","742.760"
"bribery","7","729","br""aIb.@`.ri","755.296","713.357"
"bribes","6","880","br""aIbz","733.562","645.571"
"brick","5","3,969","br""Ik","586.000","564.269"
"bricklayer","10","38","br""Ik.l%e@`","892.939","678.630"
"bricklayers","11","20","br""Ik.l%e@`z","818.312","749.793"
"bricklaying","11","11","br""Ik.l%e.IN","954.273","777.741"
"bricks","6","1,693","br""Iks","649.533","554.778"
"brickwork","9","15","br""Ik.w%3`k","914.633","684.286"
"brickyard","9","116","br""Ik.j%Ard","772.290","714.963"
"bridal","6","1,075","br""aI4.l=","600.094","651.692"
"bride","5","3,676","br""aId","617.121","594.000"
"bridecake","9","0","br""aId.k%ek","1,035.591","804.958"
"bridegroom","10","111","br""aId.gr%um","805.500","845.833"
"bridegroom's","12","8","br""aId.gr%umz","838.667","764.778"
"brides","6","599","br""aIdz","627.441","573.538"
"bride's","7","350","br""aIdz","601.182","604.259"
"bridesmaid","10","218","br""aIdz.m%ed","795.562","730.593"
"bridesmaids","11","416","br""aIdz.m%edz","848.909","718.250"
"bridge","6","19,356","br""IdZ","559.088","623.269"
"bridgehead","10","56","br""IdZ.h%Ed","810.607","731.360"
"bridges","7","4,430","br""IdZ.@z","751.303","617.143"
"bridgework","10","6","br""IdZ.w%3`k","773.677","669.536"
"bridle","6","380","br""aI.4l=","716.567","730.200"
"Brie","4","133","br""i","825.615","875.056"
"brief","5","19,495","br""if","615.324","656.846"
"briefcase","9","759","br""if.k%es","646.606","608.704"
"briefed","7","556","br""ift","870.500","731.074"
"briefer","7","134","br""if.@`","905.045","719.880"
"briefest","8","105","br""if.Ist","746.889","845.000"
"briefing","8","1,943","br""if.IN","820.250","621.385"
"briefly","7","6,477","br""if.li","612.324","586.731"
"briefs","6","1,284","br""ifs","625.529","602.815"
"brig","4","744","br""Ig","922.231","639.000"
"brigade","7","4,194","brI.g""ed","822.143","741.240"
"brigades","8","462","brI.g""edz","814.750","806.875"
"brigadier","9","332","br%I.g@d.""Ir","1,009.692","1,040.222"
"brigand","7","47","br""I.g@nd","906.222","856.571"
"brigantine","10","54","br""I.g@n.t%in","658.200","1,016.700"
"bright","6","13,726","br""aIt","598.774","582.357"
"brighten","8","329","br""aIt.n=","674.686","652.250"
"brightened","10","203","br""aIt.n=d","700.242","696.214"
"brightens","9","58","br""aIt.n=z","777.219","623.654"
"brighter","8","1,619","br""aI4.@`","617.515","589.231"
"brightest","9","1,023","br""aI4.Ist","767.273","638.538"
"brightly","8","889","br""aIt.li","719.029","684.179"
"brightness","10","2,061","br""aIt.n@s","651.935","661.714"
"brilliance","10","1,024","br""I.lj@ns","802.069","682.321"
"brilliancy","10","18","br""I.lj@ns.i","879.222","770.444"
"brilliant","9","7,731","br""I.lj@nt","722.452","634.143"
"brilliantly","11","583","br""I.lj@nt.li","792.697","704.393"
"brim","4","395","br""Im","702.318","593.815"
"brimful","7","7","br""Im.fUl","890.190","686.269"
"brimmed","7","24","br""Imd","742.481","628.615"
"brimstone","9","1,970","br""Im.st%on","784.586","643.440"
"brindle","7","773","br""In.4l=","752.933","741.409"
"brine","5","2,429","br""aIn","731.200","645.600"
"bring","5","56,510","br""IN","675.500","574.556"
"bringing","8","13,171","br""IN.IN","670.303","654.240"
"brings","6","12,634","br""INz","613.471","626.407"
"brink","5","1,291","br""INk","629.759","551.704"
"brinkmanship","12","20","br""INk.m@n.S%Ip","1,099.214","904.231"
"brinksmanship","13","6","br""INks.m@n.S%Ip","1,174.059","870.250"
"briquette","9","8","brI.k""Et","938.571","853.647"
"Brisbane","8","2,013","br""Iz.b@n","828.438","780.889"
"brisk","5","348","br""Isk","708.061","581.929"
"brisker","7","23","br""Isk.@`","871.458","650.654"
"brisket","7","149","br""I.skIt","707.731","625.615"
"briskly","7","237","br""Isk.li","683.129","668.556"
"briskness","9","0","br""Isk.n@s","862.731","675.880"
"bristle","7","229","br""I.sl=","817.781","632.615"
"bristled","8","49","br""I.sl=d","780.931","693.556"
"bristles","8","133","br""I.sl=z","810.233","635.074"
"bristling","9","123","br""I.sl=.IN","842.667","688.167"
"bristly","7","31","br""I.sl=.i","756.087","650.481"
"Bristol","7","3,533","br""I.stl=","916.034","631.115"
"Britain","7","13,200","br""I.tn=","718.242","672.407"
"Britain's","9","918","br""I.tn=z","845.562","714.440"
"Britannic","9","30","brI.t""a.nIk","1,185.867","855.750"
"britches","8","128","br""ItS.@z","738.692","727.269"
"British","7","38,543","br""I.4IS","615.853","593.000"
"Britisher","9","17","br""I.4IS.@`","907.800","841.273"
"Briton","6","136","br""I.tn=","868.636","796.208"
"Britons","7","320","br""I.tn=z","964.143","806.045"
"brittle","7","737","br""I.4l=","691.097","633.481"
"broach","6","231","br""otS","802.111","612.000"
"broached","8","121","br""otSt","827.280","655.692"
"broad","5","12,608","br""Od","570.344","657.037"
"broadcast","9","15,776","br""Od.k%ast","623.647","631.552"
"broadcaster","11","793","br""Od.k%ast.@`","721.355","652.923"
"broadcasters","12","1,023","br""Od.k%ast.@`z","766.419","676.852"
"broadcasting","12","6,899","br""Od.k%ast.IN","727.935","635.741"
"broadcastings","13","23","br""Od.k%ast.INz","884.588","756.000"
"broadcasts","10","3,076","br""Od.k%asts","725.882","677.148"
"broadcloth","10","17","br""Od.kl%OT","913.591","822.095"
"broaden","7","836","br""Od.n=","752.969","659.160"
"broadened","9","282","br""Od.n=d","841.724","802.652"
"broadening","10","361","br""Od.n=.IN","819.062","741.577"
"broadens","8","121","br""Od.n=z","856.172","672.630"
"broader","7","3,010","br""O4.@`","701.533","669.321"
"broadest","8","799","br""O4.Ist","898.095","687.385"
"broadloom","9","1","br""Od.l%um","871.500","915.565"
"broadly","7","1,385","br""Od.li","685.735","606.464"
"broadminded","11","73","br%Od.m""aIn4.@d","1,066.000","851.750"
"broadsheet","10","42","br""Od.S%it","795.774","721.917"
"broadside","9","208","br""Od.s%aId","748.250","649.370"
"broadsword","10","280","br""Od.s%Ord","1,056.458","857.391"
"Broadway","8","6,378","br""Od.we","678.226","623.444"
"Broadway's","10","30","br""Odw%ez","745.576","654.393"
"brocade","7","59","bro.k""ed","881.154","763.174"
"broccoli","8","915","br""A.k@.li","762.613","689.750"
"brochure","8","4,609","bro.S""Ur","784.971","613.852"
"brochures","9","2,149","bro.S""Urz","778.571","738.308"
"brogue","6","26","br""og","836.444","634.867"
"broil","5","113","br""OIl","695.059","629.679"
"broiled","7","175","br""OIld","700.273","697.704"
"broiler","7","177","br""OIl.@`","712.742","638.846"
"broke","5","14,085","br""ok","572.290","608.538"
"broken","6","25,599","br""ok.@n","568.567","570.808"
"brokenly","8","11","br""ok.@n.li","789.833","701.519"
"broker","6","4,647","br""ok.@`","671.088","589.185"
"brokerage","9","2,203","br""ok.@`.IdZ","734.793","665.692"
"brokers","7","2,320","br""ok.@`z","665.062","573.444"
"bromides","8","33","br""o.maIdz","1,018.429","858.458"
"bromine","7","140","br""o.min","820.136","812.450"
"bronc","5","51","""brANk","882.000","698.880"
"bronchi","7","28","br""AN.kaI","964.733","853.900"
"bronchial","9","97","br""AN.ki@l","836.214","856.042"
"bronchiolar","11","1","br%AN.ki.""ol.@`","1,598.143","996.000"
"bronchiole","10","1","br""AN.ki.ol","1,095.867","998.333"
"bronchiolitis","13","5","#","1,314.615","948.429"
"bronchitis","10","270","brAN.k""aI.4@s","906.320","843.185"
"bronchus","8","4","br""AN.k@s","866.833","824.688"
"bronco","6","1,439","br""AN.ko","742.719","619.000"
"broncos","7","493","br""AN.koz","812.000","676.917"
"broncs","6","22","""brANks","964.286","724.583"
"brontosaurus","12","50","br%An.4@.s""O.r@s","926.000","973.880"
"Bronx","5","1,144","br""ANks","682.548","602.556"
"bronze","6","5,284","br""Anz","634.219","617.259"
"bronzed","7","59","br""Anzd","756.774","619.731"
"brooch","6","66","br""otS","733.722","697.118"
"brood","5","695","br""ud","750.000","667.625"
"brooding","8","366","br""u4.IN","823.167","710.240"
"broods","6","35","br""udz","722.714","672.333"
"broody","6","10","br""u4.i","814.429","687.900"
"brook","5","2,791","br""Uk","731.833","592.407"
"brooked","7","8","br""Ukt","688.773","665.630"
"Brooklyn","8","4,243","br""Uk.lIn","608.938","596.333"
"Brooklyn's","10","36","br""Ukl@nz","707.031","700.148"
"brooks","6","6,896","br""Uks","736.968","598.731"
"brook's","7","61","br""Uks","756.966","657.138"
"broom","5","600","br""um","694.235","617.654"
"broomstick","10","164","br""um.st%Ik","630.667","705.259"
"broth","5","768","br""OT","686.750","608.115"
"brothel","7","301","br""A.T@l","713.571","704.360"
"brothels","8","390","br""A.T@lz","865.852","795.889"
"brother","7","23,702","br""V.D@`","614.062","593.444"
"brotherhood","11","1,335","br""V.D@`.h%Ud","654.133","632.259"
"brothers","8","18,042","br""V.D@`z","684.788","625.593"
"brother's","9","2,093","br""V.D@`z","729.515","660.286"
"brought","7","39,792","br""Ot","639.088","625.593"
"brouhaha","8","162","br""u.hA.h%A","1,128.375","1,079.125"
"brow","4","804","br""aU","586.471","610.346"
"browbeat","8","68","br""aU.b%it","883.429","861.909"
"browbeaten","10","23","br""aU.b%it.n=","938.538","842.174"
"brown","5","42,129","br""aUn","653.265","587.107"
"brownie","7","1,740","br""aUn.i","700.258","601.643"
"browning","8","1,495","br""aU.nIN","822.393","712.704"
"brownish","8","277","br""aUn.IS","692.033","662.269"
"brown's","7","1,004","br""aUnz","691.719","606.815"
"brownstone","10","125","br""aUn.st%on","810.484","732.846"
"brows","5","169","br""aUz","714.581","615.778"
"browse","6","7,016","br""aUz","653.000","569.920"
"browsing","8","3,505","br""aUz.IN","745.545","640.444"
"Bruce","5","25,888","br""us","655.794","575.556"
"bruin","5","276","br""u.In","719.667","711.318"
"bruise","6","456","br""uz","649.774","612.500"
"bruised","7","714","br""uzd","739.212","631.077"
"bruiser","7","164","br""uz.@`","782.483","676.520"
"bruises","7","814","br""uz.@z","713.133","644.143"
"bruising","8","233","br""uz.IN","730.094","671.920"
"brunch","6","347","br""VntS","762.406","625.929"
"brunches","8","18","br""VntS.@z","899.733","744.815"
"Brunei","6","358","bru.n""aI","816.000","801.889"
"brunette","8","958","bru.n""Et","889.848","723.786"
"brunettes","9","129","bru.n""Ets","741.061","719.154"
"brunt","5","537","br""Vnt","634.818","618.231"
"brush","5","5,701","br""VS","639.382","558.036"
"brushed","7","1,555","br""VSt","633.424","596.333"
"brushes","7","1,056","br""VS.@z","673.212","631.000"
"brushfire","9","22","br""VS.f%aIr","1,010.862","663.957"
"brushing","8","1,515","br""VS.IN","733.375","618.750"
"brushlike","9","1","br""VS.l%aIk","778.806","724.560"
"brushwood","9","30","br""VS.w%Ud","791.688","725.333"
"brushwork","9","9","br""VS.w%3`k","868.935","675.846"
"brushy","6","44","br""VS.i","779.464","681.148"
"brusque","7","64","br""Vsk","837.667","888.071"
"brusquely","9","25","br""Vsk.li","904.056","775.333"
"Brussels","8","2,710","br""V.sl=z","771.875","703.846"
"brutal","6","3,220","br""u4.l=","633.559","626.111"
"brutalities","11","61","brut.""al.@.4iz","876.536","780.214"
"brutality","9","1,046","brut.""al.@.4i","721.821","711.077"
"brutalize","9","39","br""u4.l=.aIz","841.267","811.385"
"brutalized","10","115","br""u4.l=.aIzd","760.548","710.111"
"brute","5","2,816","br""ut","684.290","642.692"
"brutish","7","191","br""u4.IS","875.958","780.519"
"bubble","6","5,866","b""V.bl=","618.667","582.154"
"bubbled","7","143","b""V.bl=d","670.545","695.214"
"bubbles","7","2,055","b""V.bl=z","640.645","627.440"
"bubbling","8","565","b""V.bl=.IN","617.515","791.520"
"bubbly","6","239","b""V.bl=.i","686.269","591.143"
"buccaneer","9","136","b%V.k@.n""Ir","799.545","772.500"
"Buchanan","8","4,141","bju.k""a.n@n","861.800","859.412"
"Bucharest","9","821","b""u.k@`.rEst","963.312","831.417"
"buck","4","6,798","b""Vk","701.290","578.321"
"buckaroos","9","87","b""V.k@`.r%uz","886.905","855.259"
"bucked","6","431","b""Vkt","716.500","622.960"
"bucket","6","3,329","b""V.k@t","595.219","653.444"
"buckets","7","736","b""V.k@ts","620.727","615.750"
"bucking","7","566","b""Vk.IN","769.065","636.464"
"buckle","6","1,228","b""V.kl=","696.091","610.643"
"buckled","7","345","b""V.kl=d","670.265","608.852"
"buckler","7","164","""b@kl@`","785.818","675.148"
"buckles","7","901","b""V.kl=z","654.333","617.429"
"buckling","8","184","b""V.kl=.IN","745.667","658.852"
"bucks","5","11,121","b""Vks","625.871","578.964"
"buck's","6","104","b""Vks","792.069","601.679"
"buckshot","8","191","b""Vk.S%At","868.714","679.269"
"buckskin","8","103","b""Vk.sk%In","848.308","685.423"
"buckskins","9","40","b""Vk.sk%Inz","910.105","773.000"
"buckskin's","10","0","b""Vk.sk%Inz","935.375","870.462"
"bucktooth","9","13","b""Vk.t%uT","832.483","693.296"
"buckwheat","9","279","b""Vk.hw%it","843.613","799.692"
"bucolic","7","48","bju.k""A.lIk","1,144.750","920.786"
"bud","3","5,259","b""Vd","622.406","622.370"
